,Day,Date,workoutActivityType,duration,durationUnit,activeEnergyBurned,basalEnergyBurned,hr_mean,hr_peak
134,Thursday,2021-09-09,Walking,9.776234783728917,min,59.505,22.5,121.175,125.35
135,Thursday,2021-09-09,Walking,21.35991724133492,min,146.612,48.6865,126.32991428571427,142.0
136,Friday,2021-09-10,TraditionalStrengthTraining,46.35293758312861,min,433.795,107.277,122.9298,131.122
137,Friday,2021-09-10,Walking,8.219422634442648,min,43.8643,18.829,110.628,111.256
138,Sunday,2021-09-12,TraditionalStrengthTraining,67.01178085009256,min,729.165,155.618,128.286,134.756
139,Sunday,2021-09-12,TraditionalStrengthTraining,50.03271813392639,min,856.343,116.931,167.7558,170.936
140,Monday,2021-09-13,TraditionalStrengthTraining,22.76691956718763,min,177.926,52.9008,117.20400000000001,120.129
141,Monday,2021-09-13,TraditionalStrengthTraining,30.79068809946378,min,377.621,71.7492,136.21066666666664,141.337
142,Monday,2021-09-13,Walking,11.42847305138906,min,194.25,26.6293,171.328,171.656
143,Wednesday,2021-09-15,TraditionalStrengthTraining,32.05067263245583,min,402.405,74.0152,140.4,147.941
144,Thursday,2021-09-16,TraditionalStrengthTraining,46.59713671803475,min,448.475,108.465,123.62760000000003,133.526
145,Thursday,2021-09-16,Walking,2.717891367276509,min,51.4616,5.96474,167.6206896551724,185.0
146,Thursday,2021-09-16,Walking,17.54029093384743,min,71.8536,40.811,108.6928,122.648
147,Friday,2021-09-17,TraditionalStrengthTraining,38.37783780097961,min,307.482,88.305,119.09,132.374
148,Friday,2021-09-17,Walking,14.04649669925372,min,99.9079,32.432,118.756,122.317
149,Saturday,2021-09-18,TraditionalStrengthTraining,23.37337318460147,min,252.764,54.1798,127.415,135.544
150,Saturday,2021-09-18,Walking,14.28683298230171,min,233.391,33.3444,167.555,168.29
151,Sunday,2021-09-19,TraditionalStrengthTraining,63.39061723351479,min,493.324,146.423,116.35266666666666,124.559
152,Sunday,2021-09-19,Walking,20.45652589996656,min,331.658,47.9142,162.8395,164.474
153,Monday,2021-09-20,TraditionalStrengthTraining,52.7806257824103,min,702.276,122.999,142.29883333333336,153.844
154,Monday,2021-09-20,Walking,9.51458490093549,min,150.308,22.1931,157.973,157.973
155,Tuesday,2021-09-21,TraditionalStrengthTraining,75.92587853471439,min,924.684,176.311,136.453,150.446
156,Tuesday,2021-09-21,Walking,21.40817479888598,min,303.617,50.2132,144.47,151.54
157,Wednesday,2021-09-22,TraditionalStrengthTraining,70.63323378364245,min,723.081,164.387,125.79228571428573,134.577
158,Wednesday,2021-09-22,Walking,18.97554660042127,min,265.11,44.1724,145.45600000000002,146.644
159,Wednesday,2021-09-22,Walking,10.70235633254051,min,66.0771,24.6871,113.723,113.723
160,Thursday,2021-09-23,TraditionalStrengthTraining,57.55894128282865,min,662.765,133.091,131.1205,141.068
161,Thursday,2021-09-23,StairClimbing,11.15860216816266,min,205.591,26.1,173.023,173.023
162,Thursday,2021-09-23,Walking,10.58689950108528,min,70.4194,24.8062,126.504,126.504
163,Thursday,2021-09-23,Walking,28.97419834335645,min,196.254,67.2655,131.94228125,144.0
164,Friday,2021-09-24,TraditionalStrengthTraining,55.6142340183258,min,536.379,127.531,121.59616666666666,137.62
165,Saturday,2021-09-25,Basketball,57.06338608463605,min,760.981,132.24,139.11666666666665,148.568
166,Saturday,2021-09-25,TraditionalStrengthTraining,61.00777186751365,min,515.227,142.24,118.42166666666668,126.748
167,Saturday,2021-09-25,Walking,8.344864133993784,min,51.3787,19.5237,124.868,124.868
168,Sunday,2021-09-26,TraditionalStrengthTraining,41.01480083266894,min,448.415,95.2416,125.322,132.983
169,Sunday,2021-09-26,Basketball,50.700794450442,min,680.612,118.7,139.09279999999998,155.982
170,Monday,2021-09-27,TraditionalStrengthTraining,30.06605101625125,min,234.686,68.7578,116.642,120.215
171,Monday,2021-09-27,Walking,7.742523783445359,min,53.2896,17.7331,109.0795,112.0
172,Monday,2021-09-27,TraditionalStrengthTraining,38.12486401597659,min,330.946,88.5961,120.843,130.19
173,Monday,2021-09-27,Walking,8.07438884973526,min,55.1222,18.5385,123.384,123.384
174,Tuesday,2021-09-28,TraditionalStrengthTraining,60.20208278298378,min,669.792,138.112,130.78800000000004,143.716
175,Wednesday,2021-09-29,Walking,30.67247551679611,min,205.486,71.5836,110.65933333333334,118.605
176,Wednesday,2021-09-29,TraditionalStrengthTraining,47.36923999985059,min,430.911,109.752,122.1344,126.919
177,Thursday,2021-09-30,TraditionalStrengthTraining,49.40393983324369,min,534.401,113.965,129.86280000000002,141.27
178,Thursday,2021-09-30,Walking,9.177619232734044,min,57.3519,21.2191,111.939,124.878
179,Thursday,2021-09-30,Walking,35.28859061996142,min,211.266,81.8344,126.27314285714286,146.0
180,Friday,2021-10-01,TraditionalStrengthTraining,56.46624910036723,min,564.134,129.781,125.11216666666667,129.008
181,Friday,2021-10-01,Walking,7.142626883586248,min,42.1248,16.2632,118.27,118.27
182,Sunday,2021-10-03,TraditionalStrengthTraining,61.76417058308919,min,740.23,143.575,133.44657142857145,153.164
183,Sunday,2021-10-03,Walking,17.84749310016632,min,321.919,41.8896,158.58399999999997,172.477
184,Sunday,2021-10-03,Walking,11.28942670027415,min,48.964,26.0,120.5655,124.176
185,Monday,2021-10-04,TraditionalStrengthTraining,59.10000759959221,min,723.933,136.129,135.77516666666668,147.924
186,Monday,2021-10-04,Walking,6.099950349330902,min,110.349,14.083,177.471,177.471
187,Monday,2021-10-04,Walking,8.071099132299423,min,48.0816,18.4548,129.778,129.778
188,Tuesday,2021-10-05,TraditionalStrengthTraining,50.18322583436966,min,526.506,117.991,129.022,142.833
189,Wednesday,2021-10-06,TraditionalStrengthTraining,59.41371505061785,min,805.115,139.623,141.59966666666665,153.119
190,Thursday,2021-10-07,TraditionalStrengthTraining,66.66371581753096,min,729.656,155.365,129.89242857142855,163.008
191,Friday,2021-10-08,TraditionalStrengthTraining,48.83376573324203,min,560.862,113.698,131.38600000000002,141.208
192,Friday,2021-10-08,Walking,13.01765908201535,min,199.1,30.3484,141.393,163.956
193,Saturday,2021-10-09,TraditionalStrengthTraining,42.99562139908473,min,385.783,100.317,118.36240000000001,131.171
194,Saturday,2021-10-09,Walking,9.85015211701393,min,66.7024,22.8776,148.663,148.663
195,Wednesday,2021-10-13,TraditionalStrengthTraining,74.83932570020357,min,1010.87,176.149,144.7655,163.343
196,Thursday,2021-10-14,TraditionalStrengthTraining,72.39775438308716,min,946.186,168.912,140.7495,159.864
197,Thursday,2021-10-14,Walking,9.21725925008456,min,73.2957,21.3516,134.402,134.402
198,Friday,2021-10-15,TraditionalStrengthTraining,57.03049563368162,min,582.691,134.296,127.56816666666664,135.136
199,Saturday,2021-10-16,TraditionalStrengthTraining,38.71936009923617,min,295.997,91.0226,116.497,121.371
200,Sunday,2021-10-17,TraditionalStrengthTraining,34.69110714991887,min,302.381,80.4406,123.30224999999999,132.972
201,Sunday,2021-10-17,Walking,35.55391193429629,min,560.353,83.4142,162.25324999999998,177.437
202,Sunday,2021-10-17,Walking,9.836728882789611,min,88.9265,22.8735,128.189,128.189
203,Monday,2021-10-18,TraditionalStrengthTraining,107.0276552339395,min,1418.52,249.978,140.97245454545455,158.672
204,Tuesday,2021-10-19,TraditionalStrengthTraining,57.91100151538849,min,639.261,135.481,131.15866666666668,157.309
205,Wednesday,2021-10-20,TraditionalStrengthTraining,53.28866516749064,min,564.046,124.74,125.30140000000002,137.812
206,Wednesday,2021-10-20,Walking,31.95931596755981,min,521.303,74.9262,157.95166666666668,159.965
207,Thursday,2021-10-21,TraditionalStrengthTraining,61.13552885055542,min,645.588,143.492,129.9725,163.746
208,Friday,2021-10-22,Walking,22.92668185035388,min,383.587,53.7537,167.14966666666666,181.116
209,Friday,2021-10-22,TraditionalStrengthTraining,44.64022353291512,min,593.537,104.443,139.8686,145.431
210,Saturday,2021-10-23,TraditionalStrengthTraining,37.16229544878006,min,299.758,85.914,117.3054,124.0
211,Saturday,2021-10-23,Walking,34.96428778370221,min,582.739,81.9,160.49675,165.372
